"Modelo","Clasificación Energética","Motorización","Categoría","MTMA (Kg)","Consumo Eléctrico (kWh/100 km)","Potencia eléctrica (kW)","Autonomía eléctrica (km)","Capacidad de la batería (kWh)"
"Kia NIRO 1.6 HEV Concept","","Híbridos de gasolina","M1","1930","","32.0","","6.5"
"Kia NIRO 1.6 HEV Concept (MY22)","","Híbridos de gasolina","M1","1930","","32.0","","1.6"
"Kia NIRO 1.6 HEV Drive","","Híbridos de gasolina","M1","1930","","32.0","","6.5"
"Kia NIRO 1.6 HEV Drive (MY22)","","Híbridos de gasolina","M1","1930","","32.0","","1.6"
"Kia NIRO 1.6 HEV Emotion","","Híbridos de gasolina","M1","1930","","32.0","","6.5"
"Kia NIRO 1.6 HEV Emotion (MY22)","","Híbridos de gasolina","M1","1930","","32.0","","1.6"
"Kia NIRO 1.6 HEV Emotion (MY22) (Pack Luxury)","","Híbridos de gasolina","M1","1930","","32.0","","1.6"
"Kia NIRO 1.6 HEV Emotion (Pack Luxury)","","Híbridos de gasolina","M1","1930","","32.0","","6.5"
"Kia NIRO 1.6 PHEV Concept","","Híbridos enchufables","M1","2000","12.2","44.5","61.0","24.7"
"Kia NIRO 1.6 PHEV Drive","","Híbridos enchufables","M1","2000","12.2","44.5","61.0","24.7"
"Kia NIRO 1.6 PHEV Emotion","","Híbridos enchufables","M1","2000","12.2","44.5","61.0","24.7"
"Kia NIRO 1.6 PHEV Emotion (Pack Luxury)","","Híbridos enchufables","M1","2000","12.2","44.5","61.0","24.7"
"Kia Nuevo e-Niro Concept","","Eléctricos puros","M1","2200","15.9","150.0","463.0","64.8"
"Kia Nuevo e-Niro Drive","","Eléctricos puros","M1","2200","15.9","150.0","463.0","64.8"
"Kia Nuevo e-Niro Emotion","","Eléctricos puros","M1","2200","15.9","150.0","463.0","64.8"
"Kia Nuevo e-Niro Emotion Pack Luxury","","Eléctricos puros","M1","2200","15.9","150.0","463.0","64.8"
"Kia Nuevo e-Niro Winter Edition","","Eléctricos puros","M1","2200","15.9","150.0","463.0","64.8"
"Kia NUEVO NIRO 1.6 HEV Concept","","Híbridos de gasolina","M1","1940","","42.0","","1.3"
"Kia NUEVO NIRO 1.6 HEV Drive","","Híbridos de gasolina","M1","1940","","42.0","","1.3"
"Kia NUEVO NIRO 1.6 HEV Drive Pack Design","","Híbridos de gasolina","M1","1940","","42.0","","1.3"
"Kia NUEVO NIRO 1.6 HEV Emotion","","Híbridos de gasolina","M1","1940","","42.0","","1.3"
"Kia NUEVO NIRO 1.6 HEV Emotion Pack Luxury","","Híbridos de gasolina","M1","1940","","42.0","","1.3"
"Kia NUEVO NIRO 1.6 PHEV Concept","","Híbridos enchufables","M1","2060","12.9","62.0","65.0","11.1"
"Kia NUEVO NIRO 1.6 PHEV Drive","","Híbridos enchufables","M1","2060","12.9","62.0","65.0","11.1"
"Kia NUEVO NIRO 1.6 PHEV Drive Pack Design","","Híbridos enchufables","M1","2060","12.9","62.0","65.0","11.1"
"Kia NUEVO NIRO 1.6 PHEV Emotion","","Híbridos enchufables","M1","2060","12.9","62.0","65.0","11.1"
"Kia NUEVO NIRO 1.6 PHEV Emotion Pack Luxury","","Híbridos enchufables","M1","2060","12.9","62.0","65.0","11.1"
"Kia NUEVO SORENTO 1.6 HEV Drive 4X2(7pl)","","Híbridos de gasolina","M1","2580","","44.0","","6.0"
"Kia NUEVO SORENTO 1.6 HEV Emotion 4X2(7pl)","","Híbridos de gasolina","M1","2580","","44.0","","6.0"
"Kia NUEVO SORENTO 1.6 HEV Emotion 4X2(7pl) (Pack Luxury)","","Híbridos de gasolina","M1","2580","","14.7","","6.0"
"Kia NUEVO SORENTO 1.6 HEV Emotion 4X4(7pl)","","Híbridos de gasolina","M1","2610","","44.0","","6.0"
"Kia NUEVO SORENTO 1.6 HEV Emotion 4X4(7pl) (Pack Luxury)","","Híbridos de gasolina","M1","2610","","14.7","","6.0"
"Kia NUEVO SORENTO 1.6 T-GDI PHEV Drive","","Híbridos enchufables","M1","2680","18.3","67.0","57.0","13.7"
"Kia NUEVO SORENTO 1.6 T-GDI PHEV Emotion","","Híbridos enchufables","M1","2680","18.3","67.0","57.0","13.7"
"Kia NUEVO SORENTO 1.6 T-GDI PHEV Emotion (Pack Luxury)","","Híbridos enchufables","M1","2680","18.3","67.0","57.0","13.8"
"Kia NUEVO SORENTO 2.2 CRDi Drive Aut 4X2(7pl)","","Gasóleo","M1","2550","","","",""
"Kia NUEVO SORENTO 2.2 CRDi Emotion Aut 4X2(7pl)","","Gasóleo","M1","2550","","","",""
"Kia NUEVO SORENTO 2.2 CRDi Emotion Aut 4X2(7pl) (Pack Luxury)","","Gasóleo","M1","2550","","","",""
"Kia NUEVO SORENTO 2.2 CRDi Emotion Aut 4X4(7pl)","","Gasóleo","M1","2600","","","",""
"Kia NUEVO SORENTO 2.2 CRDi Emotion Aut 4X4(7pl) (Pack Luxury)","","Gasóleo","M1","2600","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi Concept 4X2 115CV","","Gasóleo","M1","2110","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi Drive 4X2 115CV","","Gasóleo","M1","2110","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi Drive 4X2 115CV Pack Design","","Gasóleo","M1","2110","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Business 4X2 136CV","","Híbridos de gasóleo","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Business 4X2 136CV DCT","","Híbridos de gasóleo","M1","2200","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Business 4X4 136CV","","Híbridos de gasóleo","M1","2150","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Business 4X4 136CV DCT","","Híbridos de gasóleo","M1","2225","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Concept 4X2 136CV","","Híbridos de gasóleo","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Drive 4X2 136CV","","Híbridos de gasóleo","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Drive 4X2 136CV Pack Design","","Híbridos de gasóleo","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV GT Line 4X4 DCT 136CV","","Híbridos de gasóleo","M1","2225","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV GT-line 4X2 DCT 136CV","","Híbridos de gasóleo","M1","2200","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X2 136CV","","Híbridos de gasóleo","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X2 136CV Techo","","Híbridos de gasóleo","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X2 DCT 136CV","","Híbridos de gasóleo","M1","2200","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X2 DCT 136CV Pack Luxury","","Híbridos de gasóleo","M1","2200","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X4 136CV","","Híbridos de gasóleo","M1","2150","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X4 136CV Pack Luxury","","Híbridos de gasóleo","M1","2150","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X4 DCT 136CV","","Híbridos de gasóleo","M1","2225","","","",""
"Kia NUEVO SPORTAGE 1.6 CRDi MHEV Tech 4X4 DCT 136CV Pack Luxury","","Híbridos de gasóleo","M1","2225","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi Concept 4X2 150CV","","Gasolina","M1","2085","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi Drive 4X2 150CV","","Gasolina","M1","2085","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi Drive 4X2 150CV Pack Design","","Gasolina","M1","2085","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Drive 4X2","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Drive 4X2 Pack Design","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV GT-line 4X2","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV GT-line 4X4","","Híbridos de gasolina","M1","2245","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Launch Edition 4X2","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Tech 4X2","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Tech 4X2 Pack Luxury","","Híbridos de gasolina","M1","2175","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Tech 4X4","","Híbridos de gasolina","M1","2245","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi HEV Tech 4X4 Pack Luxury","","Híbridos de gasolina","M1","2245","","44.0","","5.5"
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Drive 4X2 150CV","","Híbridos de gasolina","M1","2120","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Drive 4X2 150CV Pack Design","","Híbridos de gasolina","M1","2120","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV GT-line 4X2 DCT 150CV","","Híbridos de gasolina","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV GT-line 4X4 DCT 180CV","","Híbridos de gasolina","M1","2210","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X2 150CV","","Híbridos de gasolina","M1","2120","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X2 150CV Techo","","Híbridos de gasolina","M1","2120","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X2 DCT 150CV","","Híbridos de gasolina","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X2 DCT 150CV Pack Luxury","","Híbridos de gasolina","M1","2145","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X4 DCT 180CV","","Híbridos de gasolina","M1","2210","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi MHEV Tech 4X4 DCT 180CV Pack Luxury","","Híbridos de gasolina","M1","2210","","","",""
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV Drive 4X4","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV Drive 4X4 Pack Design","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV GT-line 4X4","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV Tech 4X4","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia NUEVO SPORTAGE 1.6 T-GDi PHEV Tech 4X4 Pack Luxury","","Híbridos enchufables","M1","2415","16.9","66.9","70.0","13.8"
"Kia OPTIMA PHEV 2.0 GDi PHEV","","Híbridos enchufables","M1","2200","122.0","50.0","54.0","27.2"
"Kia PICANTO 1.0 CVVT Concept (4p) Eco-Dynamics","","Gasolina","M1","1300","","","",""
"Kia PICANTO 1.0 CVVT Concept (Pack Confort) (4p) Eco-Dynamics","","Gasolina","M1","1300","","","",""
"Kia PICANTO 1.0 CVVT GT Line (4p) Eco-Dynamics","","Gasolina","M1","1300","","","",""
"Kia PICANTO 1.0 DPI AMT GT Line (Advanced Driving Assistance Pack) Eco-Dynamics","","Gasolina","M1","1405","","","",""
"Kia PICANTO 1.0 DPI CONCEPT (MY22)","","Gasolina","M1","1400","","","",""
"Kia PICANTO 1.0 DPI GT Line (Advanced Driving Assistance Pack) Eco-Dynamics","","Gasolina","M1","1400","","","",""
"Kia PICANTO 1.0 DPI GT LINE AMT (MY22)","","Gasolina","M1","1405","","","",""
"Kia PICANTO 1.0 DPI GT LINE MY22 (MY22)","","Gasolina","M1","1400","","","",""
"Kia PICANTO 1.0 T-GDi GT Line (Advanced Driving Assistance Pack) Eco-Dynamics","","Gasolina","M1","1450","","","",""
"Kia PICANTO 1.0 T-GDI GT LINE (MY22)","","Gasolina","M1","1450","","","",""
"Kia PICANTO 1.0 T-GDI X LINE (MY22)","","Gasolina","M1","1450","","","",""
"Kia PICANTO 1.0 T-GDi X-Line (Advanced Driving Assistance Pack) Eco-Dynamics","","Gasolina","M1","1450","","","",""